nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
用户7208436721,"
                    //@赵丽颖:#致敬疫情前线医护人员# 向所有医护人员致敬！愿大家都健康平安❤️                ",01月22日15:00,微博 weibo.com,0,7769972,76287,819409
请西瓜姐姐吃饭吧,"
                    加油//@jjjustin0219:万众一心，众志成城，一起打赢这场疫情防控战！大家春节期间尽量减少外出。                ",01月21日19:12,微博 weibo.com,0,224613,4660,46276
搞点帅哥美女啦,"
                    帅哥好好照顾自己//@邓伦:#致敬疫情前线医护人员# 愿所有人都健康、平安，向我们的白衣天使致敬 ",01月22日15:00,微博 weibo.com,0,7769972,76287,819409
添福宝来来山东了吗,"
                    //@TFBOYS组合:#致敬疫情前线医护人员# 致敬伟大的医护人员们，你们辛苦了！愿大家都能平安健康 ",01月22日15:00,微博 weibo.com,0,7769972,76287,819409
INAK-im,"
                    你也要注意健康！//@阿云嘎Musical:大家积极防治，感谢医护人员对无私付出 #致敬疫情前线医护人员# ",01月22日15:00,微博 weibo.com,0,7769972,76287,819409
OlkhonBB,"
                    //@JoannaBlue://@神猫罗尼休://@林水妖: //@楚惜刀: //@瘦驼://@熊阿姨:这篇太狠了：现在检验盒不够，隔离病房也不够，病人在家和医院来回活动。「曾经通过社交媒体等渠道，对这轮肺炎疫情表示担心的医生，被约谈。」「现在他所在的医院很难接受新来的病人了，医护人员被感染的人数并不少。」                ",01月22日16:39,微博 weibo.com,0,92453,14517,407589
与庄共舞天堂湖-·,"
                    79//@与庄共舞天堂湖-·:54//@偷走你的喜欢:致敬英雄！//@Zeal_Soar郑爽轮博站://@做1个吃货:[@Zeal_Soar郑爽轮博站  -吃货]致敬白衣天使//@郑爽SZ:#致敬疫情前线医护人员# 请大家都保护好自己！致敬英雄，我们共同前行！                ",01月22日15:00,微博 weibo.com,0,7769972,76287,819409
好好-呆呆,"
#致敬疫情前线医护人员# 大家都要平安归来                ",01月22日15:00,微博 weibo.com,0,7769972,76287,819409
·kan·1212·,"
                    致敬//@时代少年团-严浩翔:#致敬疫情前线医护人员# 致敬伟大的医护人员们//@时代少年团:#致敬疫情前线医护人员#  感谢所有的医务工作者们，希望大家都能健康平安 ",01月22日15:00,微博 weibo.com,0,7769972,76287,819409
1016吨的万里阳光号,"
//@1016吨的黄金梅丽号:#致敬疫情前线医护人员# 向医护人员致敬！希望大家都平平安安//@赵丽颖:#致敬疫情前线医护人员# 向所有医护人员致敬！愿大家都健康平安❤️                ",01月22日15:00,微博 weibo.com,0,7769972,76287,819409
小也崽崽,"
                    哥哥保护好自己和家人//@R1SE-刘也:#致敬疫情前线医护人员#所有的医护人员辛苦了 希望大家都能平安健康 ",01月22日15:00,微博 weibo.com,0,7769972,76287,819409
