nickname,txt,date,device,favorate_count,forward_count,comment_count,like_count
xinyij17,转发微博,02月02日 20:00,微博 weibo.com,0,170,22,165
HarrisonZGM,1. 现在口罩的礼貌用途大于防疫用途。勤洗手和消毒现在看起来是更加有效的方法。2. 感受到人们的过分恐慌。按照现在的统计数据，新冠病毒的致死率为3-4%，这远远低于03年SARS的10%。而死亡的人数当中，年龄大于50岁的男性患者居多，这些人据说本身就身体状况较差，或患有不同大小的其他病症。3. 希望 ?  展开全文c,02月02日 22:52,iPhone客户端,0,0,0,2
蒙哥奶奶,当然了，具体到个股，大家不可能都低开在5-7%这个区间，根据受疫情冲击程度不同，肯定有分化。受灾最严重的板块肯定是旅游餐饮、商业零售、影视院线，这几个被拍死在跌停板上也不要太惊讶，尤其是旅游餐饮，一年中最重要的两个档期之一垮了。民航出行和机场运输也会受到打击，包括刚刚上市的京沪高铁。 ?  展开全文c,02月02日 22:55,iPhone客户端,0,0,3,5
Milooooo327,#20200202# 还未从Kobe离世的哀伤中恢复过来新冠病毒依然在肆虐全国在家待的第12天2020地狱开局到现在对发生的一切仍感觉没有实感感慨生命脆弱 生活艰辛对未来抱有期待 但又不知该如何应对理不清思绪 ?,02月02日 22:53,iPhone客户端,0,0,0,0
圆脸凯狮,转发微博,02月01日 04:28,健康医疗 · 视频社区,0,288,147,1871
闹闹和双双成长记,转发微博,02月02日 14:45,微博 weibo.com,0,445,73,645
张家界消防,转发微博,02月02日 14:43,荣耀V20 4800万3D相机,0,13,2,10
红袍萤火虫VIII,【新冠病毒 2019-nCoV】过去这俩月，真的可以写一本新版《官场现形记》了啊。 ?,02月02日 22:55,iPhone客户端,0,1,3,7
水乡墨客HM,『重磅！美国首例新冠病毒确诊病例康复全记录』O重磅！美国首例新冠病毒确诊病例康复全记录 ?,02月02日 22:53,HUAWEI Mate 10,0,0,0,0
锦衣夜行452,转发微博,02月02日 16:00,微博 weibo.com,0,6,13,16
魏大勋的逍遥,魏大勋魏大勋傻瓜，现在有新冠病毒，你给我悠着点，对自己负责，敢给我生病你试试，尽量少出门，出门记得带囗罩(一定要带好)，保持室内卫生， 少去封闭场所、医院（特别是急诊，发热科、呼吸内科）、畜养禽兽的地方，有流感或发烧，感冒突然恶化，要及时去医院检查身体。这种病毒会传 ?  展开全文c,02月02日 22:59,魏大勋超话,0,0,1,6
DoNothing姐,//@人人视频:关于新型冠状病毒肺炎的科普！“人类的赞歌是勇气的赞歌，赞美所有还在认真工作的人们。希望2020年，我们能有更多的勇气。”,02月02日 09:05,深度报道 · 视频社区,0,684722,102017,2209891
中年是下午茶_80791,全球科学家合力溯源新冠病毒，提出多种疫情最初起源可能性随着新冠病毒疫情的进一步发展，科学家和医务工作者们正在从溯源疫情源头、阻断病毒传播方式和寻找治疗方法等方面加紧研究，以早日遏制疫情。1月31日，《科学》杂志刊发的一篇报道指出，全球各地的科学家们纷纷公开了新型冠状病毒患者体内获 ?  展开全文c,02月02日 22:50,360安全浏览器,0,1,0,0
天津和平,【1小时高灵敏检测新型冠状病毒！天大与企业合作成功研发检测试剂盒】2月2日从天津大学获悉，针对新型冠状病毒潜伏期较长，且在潜伏期也具有传染性，目前急需高灵敏度检测试剂盒的状况，天津大学团队联合金麦格生物技术有限公司研发团队经过多昼夜的艰苦攻关，成功研发出新型冠状病毒检测试剂盒。该试 ?  展开全文c,02月02日 22:54,微博 weibo.com,0,1,0,1
用户7379970785,@曝料一哥 //@Ting12186372937418:恳请政府救救我爸爸妈妈，我爸爸做了抽血和肺部CT检查，跑了几家医院医生都说是新冠病毒感染，医院也都说没有核酸检测盒，不能确诊，单独一个房间在家隔离，可这几天妈妈也不舒服，今天去做了检查妈妈也被感染了，已经绝望了，政府有没有人能管管我们这些绝望的人？,02月02日 15:16,iPhone客户端,0,8,1,1
浙商卢献星,市场人士在投资中，更在乎其波动，很少冷静沉思其长期的成长规律； 买入短期受武汉肺炎新冠病毒影响大，但是长期内生性成长稳定的小而美！,01月26日 21:52,微博 weibo.com,0,468,138,484
one_day_xuan,没事各自忙，有难一起扛！我已0元加入新冠病毒互助计划，次日生效，不限年龄，不分地域，不收取管理费，更有新浪捐助1000万元，助力全民战“疫”！众志成城，疫情退散！O网页链接 ?,02月02日 22:45,新浪互助,0,0,0,0
CGTN,"【都是冠状病毒，新冠病毒与SARS、MERS有什么区别？】A mysterious pneumonia outbreak first reported in December in Wuhan, central China's Hubei Province, has quickly spread across the country and around the world. Scientists have attributed the outbreak to ""2019-nCoV,"" a new strain  ?  展开全文c",02月02日 22:46,微博 weibo.com,0,120,9,125
天蝎座小狐狸83,//@投行新闻:CDA数据分析师，赵坚毅博士倾情力作，全面解释困惑已久的新冠病毒几大问题,02月02日 21:19,微博 weibo.com,0,29,1,12
一只勤劳的虫子,太强了，仿佛回到了高中生物课！中国加油！一定会把病毒消灭！,02月02日 09:05,深度报道 · 视频社区,0,684722,102017,2209891
_Aphrora_,可怕的不是病毒，可怕的是谣言和无知,02月02日 09:05,深度报道 · 视频社区,0,684722,102017,2209891
bdcc2013,发表了博文《20200202留下一个纪念吧》20200202留下一个纪念吧，尽管这个鼠脑袋（嘴巴）过得很纠结。每天关注着新冠病毒的事情，不知道以后会怎样？好消息少点儿，糟心的消息特别是武汉官员们的坏消O20200202留下一个纪念吧 ?,02月02日 22:53,新浪博客,0,0,0,0
端茶劝斜阳,近期爆发的新冠病毒疫情让全国人民陷入了恐慌，铺天盖地的确诊信息，让我们的生活犹如陷入了暗夜一般。网上肆意流传着一些正面和负面的消息，我们要理智的去看待。有一个比较有意思的说法，等到是疫情过去之后，你最想干啥？我也问下，你最想干什么呢？相信经历了这场灾难，我们都会更加理性，会明白这 ?  展开全文c,02月02日 22:58,荣耀 9X,0,0,0,0
芜湖热线,#直击芜湖抗击新冠肺炎# 【国务院紧急通知#地方不得以任何名义截留调用医疗物资#】通知称，医用防护服、N95口罩、医用护目镜、负压救护车、相关药品等重点医疗应急防控物资由国务院应对新型冠状病毒感染肺炎疫情联防联控机制物资保障组统一管理、统一调拨，地方各级人民政府不得以任何名义截留、调用。,02月02日 22:46,iPhone客户端,0,8,6,6
