苗乐伟-,进口猪肉确实能够在一定程度缓解市场供应，平抑猪肉价格，但生猪存栏缺口巨大，眼下还是以恢复产能、控制疫情为主。//@北渔·:难怪中央储备肉发放的底气那么足，都已经准备好了。 这个进口量@苗乐伟- 总怎么看？//@北渔·:,2019年12月19日 22:27,"
                        2019年12月20日 19:56
                        ",0,75,28,73
kittypuppyholic,congrat//@H-Shield艾滋病预防 :和非洲无关，我国毒株主要是CRF01_AE，还有CRF_BC，为东南亚传入我国后独立进化的。现在全球90余种HIV新亚型重组型，30种产地是中国。中国是世界上最大的多品种HIV输出国了……//@修齐的旅行日记 :由于我们国家大量接受非洲同学，艾滋疫情成倍增长,2019年12月20日 12:50,微博 weibo.com,0,158,49,212
铁路的卫士,急呼！…案情不能公开！一名工人请求中央派专案组，立案调查，…高科技…涉黑涉恐谋杀案！…连环案中案！之前还有一起放射性暗杀案，曾危及工人李淑芬生命…李淑芬居住的秦皇岛市铁路小区，近期已划旧楼拆迁范围，如果不及时立案，居民区拆迁，无法进行案情现场调查，敬请社会各界人士引起关注！帮助转 ​  展开全文c,2019年12月20日 22:13,iPad mini,0,0,0,0
宝宝肉护卫队,#微博辟谣# 该微博提及埃博拉，散播疫情，引起恐慌，请严肃处理，谢谢 . ​,2019年12月20日 19:38,微博社区管理中心,0,0,0,0
铁路的卫士,急呼！…案情不能公开！一名工人请求中央派专案组，立案调查，…高科技…涉黑涉恐谋杀案！…连环案中案！之前还有一起放射性暗杀案，曾危及工人李淑芬生命…李淑芬居住的秦皇岛市铁路小区，近期已划旧楼拆迁范围，如果不及时立案，居民区拆迁，无法进行案情现场调查，敬请社会各界人士引起关注！帮助转 ​  展开全文c,2019年12月20日 22:13,iPad mini,0,0,0,0
铁路的卫士,急呼！…在危急时刻，工人李淑芬舍生忘死挺身而出，用生命和鲜血保护国家利益；保护党和人民利益！谁来保护工人李淑芬及亲人们的安全！急待中央专案组，立案彻查！！失职贪官犯罪集团连环谋杀案！北京铁路局；秦皇岛车务段；秦皇岛站；有多人涉贪腐案，失职贪官和凶手，逍遥法外！！搞权、钱交易！有关 ​  展开全文c,2019年12月20日 22:55,iPad mini,0,0,0,0
健康上城品质生活,【应对诺如，我们随时准备着】为进一步加强对学校、托幼机构等人群聚集场所诺如病毒感染暴发疫情调查处置和预防控制工作，确保在诺如疫情发生时，能及时、科学、规范地采取应急措施，最大限度减少疫情造成的危害，12月20日，上城区在杭州天地实验小学开展诺如病毒感染暴发疫情处置演练。该演练通过现场 ​  展开全文c,2019年12月20日 17:44,微博 weibo.com,0,0,0,0
铁路的卫士,急呼！…在危急时刻，工人李淑芬舍生忘死挺身而出，用生命和鲜血保护国家利益；保护党和人民利益！谁来保护工人李淑芬及亲人们的安全！急待中央专案组，立案彻查！！失职贪官犯罪集团连环谋杀案！北京铁路局；秦皇岛车务段；秦皇岛站；有多人涉贪腐案，失职贪官和凶手，逍遥法外！！搞权、钱交易！有关 ​  展开全文c,2019年12月20日 12:27,iPad mini,0,0,0,0
佛说521521,//@H-Shield艾滋病预防 :和非洲无关，我国毒株主要是CRF01_AE，还有CRF_BC，为东南亚传入我国后独立进化的。现在全球90余种HIV新亚型重组型，30种产地是中国。中国是世界上最大的多品种HIV输出国了……//@修齐的旅行日记 :由于我们国家大量接受非洲同学，艾滋疫情成倍增长,2019年12月20日 12:50,微博 weibo.com,0,158,49,212
铁路的卫士,急呼！…案情不能公开！一名工人请求中央派专案组，立案调查，…高科技…涉黑涉恐谋杀案！…连环案中案！之前还有一起放射性暗杀案，曾危及工人李淑芬生命…李淑芬居住的秦皇岛市铁路小区，近期已划旧楼拆迁范围，如果不及时立案，居民区拆迁，无法进行案情现场调查，敬请社会各界人士引起关注！帮助转 ​  展开全文c,2019年12月20日 12:40,iPad mini,0,0,0,0
陈鹏31812,图2讲的不对，台湾省能够完全确定控制住了疫情,2019年12月20日 12:19,"
                        2019年12月20日 13:47
                        ",0,23,45,79
无情无义空心菜,//@H-Shield艾滋病预防:回复@修齐的旅行日记:和非洲无关，我国毒株主要是CRF01_AE，还有CRF_BC，为东南亚传入我国后独立进化的。现在全球90余种HIV新亚型重组型，30种产地是中国。中国是世界上最大的多品种HIV输出国了……//@修齐的旅行日记:由于我们国家大量接受非洲同学，艾滋疫情成倍增长,2019年12月20日 12:50,微博 weibo.com,0,158,49,212
淮北市教育局微博,【关于加强冬春季重点传染病防控工作的通知】当前，已进入冬春季传染病流行季节，流行性感冒、手足口病、流行性腮腺炎、麻疹、水痘、诺如病毒病、结核病等传染病传播风险明显增加，防控形势十分严峻。为进一步加强我市冬春季重点传染病防控工作，切实保障广大人民群众的身体健康，结合我市工作实际， ​  展开全文c,2019年12月20日 15:28,微博 weibo.com,0,0,0,1
是你宇叔呀,【快过年了猪价会涨吗？农业农村部：猪肉价格持续下降】2019己亥猪年，“金”猪真来了。年初以来，猪肉价格蹭蹭涨，吃货们心里拔凉拔凉……但别急，最近关于猪肉的好消息接二连三——全国生猪生产开始探底回升，非洲猪瘟疫情得到有效控制，猪肉价格环比持续下降！#加大生猪稳产保供支持力度# ​,2019年12月20日 19:35,iPhone客户端,0,0,0,0
贾绍荷,流感又双叒叕的来了！注意流感近日，国家流感中心发布最新数据，截至2019年12月8日，我国内地南北方省份流感活动水平继续呈升高趋势，暴发疫情数明显增多，我国大部分省份已经进入今年的冬季流行季。监测数据显示，H3N2型流感病例占绝大多数，超过95%。各地儿科门急诊病例剧增，许多地方出现流感样 ​  展开全文c,2019年12月20日 22:08,HUAWEI Mate 20,0,0,18,7
铁路的卫士,急呼！…在危急时刻，工人李淑芬舍生忘死挺身而出，用生命和鲜血保护国家利益；保护党和人民利益！谁来保护工人李淑芬及亲人们的安全！急待中央专案组，立案彻查！！失职贪官犯罪集团连环谋杀案！北京铁路局；秦皇岛车务段；秦皇岛站；有多人涉贪腐案，失职贪官和凶手，逍遥法外！！搞权、钱交易！有关 ​  展开全文c,2019年12月20日 22:55,iPad mini,0,0,0,0
掠过的凉风,//@佛说521521://@H-Shield艾滋病预防 :和非洲无关，我国毒株主要是CRF01_AE，还有CRF_BC，为东南亚传入我国后独立进化的。现在全球90余种HIV新亚型重组型，30种产地是中国。中国是世界上最大的多品种HIV输出国了……//@修齐的旅行日记 :由于我们国家大量接受非洲同学，艾滋疫情成倍增长,2019年12月20日 12:50,微博 weibo.com,0,158,49,212
铁路的卫士,急呼！…在危急时刻，工人李淑芬舍生忘死挺身而出，用生命和鲜血保护国家利益；保护党和人民利益！谁来保护工人李淑芬及亲人们的安全！急待中央专案组，立案彻查！！失职贪官犯罪集团连环谋杀案！北京铁路局；秦皇岛车务段；秦皇岛站；有多人涉贪腐案，失职贪官和凶手，逍遥法外！！搞权、钱交易！有关 ​  展开全文c,2019年12月20日 12:27,iPad mini,0,0,0,0
健康埇桥,儿童尤其注意流感预防和治疗　　12月份和1月份是流行性感冒高峰季节的主要时间段，目前进入流感高发期，专家提示，由于儿童“抵抗力弱、排毒时间更长”的特点，故应尤其注意流感的预防和治疗。　　“一般来讲，儿童近期出现腋下体温高于38.0℃的发热，伴有咳嗽或咽痛等流感样症状，就应该考虑发生 ​  展开全文c,2019年12月20日 16:16,微博 weibo.com,0,0,0,0
铁路的卫士,急呼！…案情不能公开！一名工人请求中央派专案组，立案调查，…高科技…涉黑涉恐谋杀案！…连环案中案！之前还有一起放射性暗杀案，曾危及工人李淑芬生命…李淑芬居住的秦皇岛市铁路小区，近期已划旧楼拆迁范围，如果不及时立案，居民区拆迁，无法进行案情现场调查，敬请社会各界人士引起关注！帮助转 ​  展开全文c,2019年12月20日 12:39,iPad mini,0,0,0,0
竹山组长,暴利“炒猪团”：恶意投放非洲猪瘟病毒饵料。一些不法商人为了牟取暴利，盯上了生猪价格洼地。他们不顾政府禁令，组成“炒猪团”，跨省收猪、贩猪、炒猪，而不管其中有没有病猪。为了偷运生猪，有的买通监管人员，伪造手续证明；为了压价收猪，有的散播疫情谣言，制造社会恐慌情绪，甚至向他人饲养的猪 ​  展开全文c,2019年12月20日 13:46,360安全浏览器,0,0,0,0
环球科学杂志社,《科学》公布 2019 年度“十大突破”与“四个退步”十大突破：1、“黑洞的第一张照片”2、复原 16 万年前的丹尼索瓦人面容3、谷歌实现“量子优越性”4、科学家制出能够挽救儿童营养不良的补充剂5、探寻 6600 万年前小行星撞击地球的痕迹6、“新视野”号对银河系边缘小行星 MU69 的观测7、填补 ​  展开全文c,2019年12月20日 13:27,微博 weibo.com,0,20,5,41
孙天宏,非洲猪瘟疫情出现以来，曾发现有无人机在生猪养殖区投放不明物品，检疫后发现该物品含有非洲猪瘟病毒。需要严肃处理#炒猪团恶意向猪群投放非洲猪瘟病毒# #非洲猪瘟疫情播报# ​,2019年12月20日 15:25,360安全浏览器,0,0,0,2
天津频率,#天津身边事# 【我市流感暴发集中在学校 还将持续2-3周】昨天，市卫生健康委举办“天津市流感防治新闻发布会”，目前我市流感病毒已进入高度活跃期，预计发病高峰仍将持续2至3周。本流感季，全市共报告流感样病例暴发疫情81起，主要发生在小学（63起）、中学（18起）。 ​,2019年12月20日 19:26,HUAWEI Mate 20 X 5G,0,1,0,0
大虾江江,#fdsgd3# O网页链接【黑龙江卫健委通报部分学生布鲁氏菌抗体阳性情况】#黑龙江13名学生感染布鲁氏菌#2019年12月7日17时，黑龙江省疾控中心通过传染病疫情网络直报系统监测到省农垦总医院诊断6例布病，均为中国农业科学院研究生院兽医学院（哈兽研）学生。<br><br>截至10日17时，此次疫情相 ​  展开全文c,2019年12月20日 09:08,微博 weibo.com,0,0,0,0
铁路的卫士,急呼！…案情不能公开！一名工人请求中央派专案组，立案调查，…高科技…涉黑涉恐谋杀案！…连环案中案！之前还有一起放射性暗杀案，曾危及工人李淑芬生命…李淑芬居住的秦皇岛市铁路小区，近期已划旧楼拆迁范围，如果不及时立案，居民区拆迁，无法进行案情现场调查，敬请社会各界人士引起关注！帮助转 ​  展开全文c,2019年12月20日 07:17,iPad mini,0,0,0,0
闽西新闻网,【流感来袭！专家表示—— 接种流感疫苗是最有效的措施】随着冬季来临，气温下降，又到了流感等呼吸道传染病的高发期。记者从市疾控中心了解到，进入12月份以来，我市新罗、长汀、漳平等地的少数学校、托幼机构发生了由B（victoria）系和甲型H3N2引起的流感聚集性疫情，哨点医院流感样病例报告病例数也 ​  展开全文c,2019年12月20日 12:00,360安全浏览器,0,0,0,0
