
---------------------------------第1页------------------------------

------------------------------该页有22条微博-----------------------------
{'nickname': '有爱的紫的花', 'txt': '\n疫情之下这个处罚太轻了                ', 'date': '02月15日22:16', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '234', 'comment_count': '1445', 'like_count': '7050'}
{'nickname': '残念_hahashoiw', 'txt': '\n                    这四类人不纳入征信疫情防控期间不能正常上班，若出现房贷、车贷、信用卡还不上，是否会产生不良信用记录？2月14日，人行宜昌市中心支行相关部门负责人答复，根据人民银行、财政部、银保监会、证监会、外汇局等五部门于2月1日联合印发的《关于进一步强化金融支持防控新型冠状病毒感染肺炎疫情的通知》 \u200b  展开全文c ', 'date': '\n02月15日22:59\n', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '新浪新闻客户端', 'txt': '\n#深夜大明白#【#朱一龙李现合唱武汉你好吗#】你好吗？你在哪？我们心中的武汉，曾是樱花烂漫的文化历史名城，而如今的武汉，更是一座英雄的城市。为了抗击疫情，武汉做出了巨大的牺牲与奉献，病毒虽然隔离了我们之间的距离，却让我们的心更加紧密相连。由@王平久 作词，@常石磊 作曲，湖北籍电影人 \u200b  展开全文c ', 'date': '\n02月15日23:00\n', 'device': '明星资讯 · 视频社区', 'favorate_count': 0, 'forward_count': '339', 'comment_count': '255', 'like_count': '5785'}
{'nickname': '二二赪赪', 'txt': '\n                    爱世界啊//@一级壳妻://@小哥解解:疫情期间听到这首歌总是绷不住想落泪，希望疫情快点过去，再给人类一次机会，让大家好好爱这个世界。                ', 'date': '02月15日22:30', 'device': '微博 weibo.com', 'favorate_count': 0, 'forward_count': '2604', 'comment_count': '1005', 'like_count': '11292'}
{'nickname': '漫步经心05', 'txt': '\n                    之前的几次算是成功的母亲，终于诞生了成功！被宅在家所逼出来的面点师们层出不穷，难怪超市面粉断货罗。小米粥十肉包十川味水煮肉片的晚餐，肯德基的宵夜，这是疫情过后重现大唐盛世的节奏吗？圆得一一肥不隆咚！ \u200b                ', 'date': '\n02月15日23:00\n', 'device': 'HUAWEI Mate 10', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '无常啦啦啦', 'txt': '\n                    //@尸姐://@五行属二: 不要踢皮球了，求求//@江南大野花://@在吗借我一个亿呀://@一只炸宝://@東西南北發胡: 帮！真难受//@史里芬Schlieffen:帮转//@HHH韩夏:河北老乡，本人是一线医生，妈妈其他重症，现在因为疫情无法得到救治。这样的情况怎么办？？                ', 'date': '02月15日03:24', 'device': '\n                        02月15日 23:00\n                        ', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '小神仙yu', 'txt': '\n                    //@衣锦夜行的燕公子:河北一线医生，母亲现在重症，因为疫情无法得到救治，请看看她！                ', 'date': '02月15日03:24', 'device': '\n                        02月15日 22:59\n                        ', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '百八里分麾下zhi', 'txt': '\n#战疫打卡行动#我已打卡1天，面对疫情我承诺：特殊时期不吃生食！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#  让每个小坚持都有大意义，武汉加油，中国加油！ \u200b                ', 'date': '\n02月15日22:59\n', 'device': '微博品牌活动', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '望流鲸', 'txt': '\n                    来 请你喝奶茶！「疫情赶紧结束吧😫我不想在家画奶茶解馋」 \u200b                ', 'date': '\n02月15日23:00\n', 'device': 'iPhone客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': '4', 'like_count': '1'}
{'nickname': '用户7393316608', 'txt': '\n                    //@5250天空依旧:疫情严重，这个村的村长聚众“靠前指挥”求转发！求曝光@CGTN记者团 @安徽公安在线 @安徽纪检监察 @淮南公安在线 @淮南新媒体 #官方回应火神山医院漏水# #确诊小伙40多位密切接触者未被感染# ', 'date': '02月15日22:27', 'device': 'vivo X20全面屏手机', 'favorate_count': 0, 'forward_count': '15', 'comment_count': '1', 'like_count': '1'}
{'nickname': '-O云烟O-', 'txt': '\n                    好多年没看到下雪，没想到今年这个宅家最长的日子看到了。如果没有这场疫情，我应该早回城了，大概又看不到了。所以有时候有种失之东隅 收之桑榆的感觉。雪景很美，那么大的雪飘飘扬扬的真的很好看。可也觉得这个年太难了，武汉应该很惨吧，天气不好外面执勤的和不能开空调的医院工作者都辛苦很多。希 \u200b  展开全文c ', 'date': '\n02月15日22:59\n', 'device': 'iPhone客户端', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '吸吸聚聚有益身心健康', 'txt': '\n                    Cwt54的本子发不出来，还有本预售的砖头小说本也因为疫情推迟了…MD \u200b                ', 'date': '\n02月15日22:59\n', 'device': 'HUAWEI Mate 9', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '自呱_东南枝', 'txt': '\n                    //@尸姐://@五行属二: 不要踢皮球了，求求//@江南大野花://@在吗借我一个亿呀://@一只炸宝://@東西南北發胡: 帮！真难受//@史里芬Schlieffen:帮转//@HHH韩夏:河北老乡，本人是一线医生，妈妈其他重症，现在因为疫情无法得到救治。这样的情况怎么办？？                ', 'date': '02月15日03:24', 'device': '\n                        02月15日 22:59\n                        ', 'favorate_count': 0, 'forward_count': 0, 'comment_count': 0, 'like_count': 0}
{'nickname': '织兒砸的人鱼线', 'txt': '\n                    “像太阳”//@天秀bot:这个视频集合了所有疫情下的正能量瞬间，大家一定要看完。“今天可以自己吃饭了”，患者乐观的情绪，也穿透屏幕感染了你我，相信我们终将战胜疫情，迎来春天，美好终将到来！                ', 'date': '02月15日18:31', 'device': '微博视频', 'favorate_count': 0, 'forward_count': '12994', 'comment_count': '1339', 'like_count': '15167'}
